itemId,city,quality,sellOrderPrice,sellOrderPriceDate,buyOrderPrice,buyOrderPriceDate,primaryResource,primaryResourceAmount,secondaryResource,secondaryResourceAmount,bonusCity
T2_HEAD_LEATHER_SET1,"Black Market",2,352,2022-10-17T18:20:00,336,2022-10-18T14:55:00,leather,8,,,Lymhurst
T3_HEAD_LEATHER_SET1,"Black Market",2,1200,2022-10-18T07:00:00,1175,2022-10-18T14:10:00,leather,8,,,Lymhurst
T4_HEAD_LEATHER_SET1,"Black Market",2,1471,2022-10-18T13:20:00,1410,2022-10-18T14:10:00,leather,8,,,Lymhurst
T4_HEAD_LEATHER_SET1@1,"Black Market",2,3065,2022-10-18T00:40:00,3008,2022-10-18T14:10:00,leather,8,,,Lymhurst
T4_HEAD_LEATHER_SET1@2,"Black Market",2,14999,2022-10-18T00:40:00,3008,2022-10-18T14:10:00,leather,8,,,Lymhurst
T4_HEAD_LEATHER_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,18072,2022-10-18T14:10:00,leather,8,,,Lymhurst
T5_HEAD_LEATHER_SET1,"Black Market",2,5500,2022-10-18T00:40:00,5264,2022-10-18T14:10:00,leather,8,,,Lymhurst
T5_HEAD_LEATHER_SET1@1,"Black Market",2,8800,2022-10-18T00:40:00,4888,2022-10-18T14:10:00,leather,8,,,Lymhurst
T5_HEAD_LEATHER_SET1@2,"Black Market",2,29989,2022-10-18T00:40:00,1506,2022-10-18T14:10:00,leather,8,,,Lymhurst
T5_HEAD_LEATHER_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,4515,2022-10-18T14:10:00,leather,8,,,Lymhurst
T6_HEAD_LEATHER_SET1,"Black Market",2,19882,2022-10-18T14:50:00,8272,2022-10-18T14:50:00,leather,8,,,Lymhurst
T6_HEAD_LEATHER_SET1@1,"Black Market",2,34756,2022-10-18T13:20:00,9789,2022-10-18T14:10:00,leather,8,,,Lymhurst
T6_HEAD_LEATHER_SET1@2,"Black Market",2,104997,2022-10-18T13:20:00,40635,2022-10-18T14:10:00,leather,8,,,Lymhurst
T6_HEAD_LEATHER_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,leather,8,,,Lymhurst
T7_HEAD_LEATHER_SET1,"Black Market",2,49693,2022-10-17T21:35:00,48945,2022-10-18T14:10:00,leather,8,,,Lymhurst
T7_HEAD_LEATHER_SET1@1,"Black Market",2,107992,2022-10-18T13:20:00,60200,2022-10-18T14:10:00,leather,8,,,Lymhurst
T7_HEAD_LEATHER_SET1@2,"Black Market",2,240488,2022-10-18T13:20:00,102374,2022-10-18T14:10:00,leather,8,,,Lymhurst
T7_HEAD_LEATHER_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,240840,2022-10-18T14:10:00,leather,8,,,Lymhurst
T8_HEAD_LEATHER_SET1,"Black Market",2,143993,2022-10-18T13:20:00,109865,2022-10-18T14:10:00,leather,8,,,Lymhurst
T8_HEAD_LEATHER_SET1@1,"Black Market",2,294487,2022-10-17T21:40:00,280023,2022-10-18T14:10:00,leather,8,,,Lymhurst
T8_HEAD_LEATHER_SET1@2,"Black Market",2,0,0001-01-01T00:00:00,331155,2022-10-18T14:10:00,leather,8,,,Lymhurst
T8_HEAD_LEATHER_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,361260,2022-10-18T14:10:00,leather,8,,,Lymhurst
T2_HEAD_LEATHER_SET2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,leather,8,,,Lymhurst
T3_HEAD_LEATHER_SET2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,leather,8,,,Lymhurst
T4_HEAD_LEATHER_SET2,"Black Market",2,1682,2022-10-18T13:15:00,940,2022-10-18T14:10:00,leather,8,,,Lymhurst
T4_HEAD_LEATHER_SET2@1,"Black Market",2,3030,2022-10-18T00:40:00,3008,2022-10-18T14:10:00,leather,8,,,Lymhurst
T4_HEAD_LEATHER_SET2@2,"Black Market",2,0,0001-01-01T00:00:00,10152,2022-10-18T14:10:00,leather,8,,,Lymhurst
T4_HEAD_LEATHER_SET2@3,"Black Market",2,65664,2022-10-17T19:45:00,29367,2022-10-18T14:10:00,leather,8,,,Lymhurst
T5_HEAD_LEATHER_SET2,"Black Market",2,5794,2022-10-18T00:40:00,5828,2022-10-18T14:10:00,leather,8,,,Lymhurst
T5_HEAD_LEATHER_SET2@1,"Black Market",2,10726,2022-10-18T00:40:00,9024,2022-10-18T14:10:00,leather,8,,,Lymhurst
T5_HEAD_LEATHER_SET2@2,"Black Market",2,0,0001-01-01T00:00:00,15813,2022-10-18T14:10:00,leather,8,,,Lymhurst
T5_HEAD_LEATHER_SET2@3,"Black Market",2,0,0001-01-01T00:00:00,103845,2022-10-18T14:10:00,leather,8,,,Lymhurst
T6_HEAD_LEATHER_SET2,"Black Market",2,20676,2022-10-18T16:30:00,13912,2022-10-18T14:10:00,leather,8,,,Lymhurst
T6_HEAD_LEATHER_SET2@1,"Black Market",2,33856,2022-10-18T16:35:00,25602,2022-10-18T14:10:00,leather,8,,,Lymhurst
T6_HEAD_LEATHER_SET2@2,"Black Market",2,99390,2022-10-18T13:20:00,40635,2022-10-18T14:10:00,leather,8,,,Lymhurst
T6_HEAD_LEATHER_SET2@3,"Black Market",2,0,0001-01-01T00:00:00,117429,2022-10-18T14:10:00,leather,8,,,Lymhurst
T7_HEAD_LEATHER_SET2,"Black Market",2,50911,2022-10-18T14:00:00,21084,2022-10-18T13:20:00,leather,8,,,Lymhurst
T7_HEAD_LEATHER_SET2@1,"Black Market",2,96399,2022-10-17T21:35:00,88795,2022-10-18T14:10:00,leather,8,,,Lymhurst
