itemId,city,sellOrderPrice,sellOrderPriceDate,buyOrderPrice,buyOrderPriceDate
T2_METALBAR,Bridgewatch,18,2022-10-17T08:05:00,0,0001-01-01T00:00:00
T2_METALBAR,"Fort Sterling",14,2022-10-17T05:00:00,0,0001-01-01T00:00:00
T2_METALBAR,Lymhurst,11,2022-10-17T10:35:00,10,2022-10-16T23:25:00
T2_METALBAR,Martlock,15,2022-10-17T05:20:00,0,0001-01-01T00:00:00
T2_METALBAR,Thetford,19,2022-10-17T08:00:00,16,2022-10-17T02:15:00
T3_MetalBar,Bridgewatch,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T3_MetalBar,Martlock,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T3_METALBAR,"Fort Sterling",88,2022-10-16T22:00:00,0,0001-01-01T00:00:00
T3_METALBAR,Lymhurst,80,2022-10-17T00:15:00,79,2022-10-17T00:15:00
T3_METALBAR,Thetford,92,2022-10-17T02:15:00,91,2022-10-17T02:15:00
T4_METALBAR,Bridgewatch,164,2022-10-16T18:50:00,140,2022-10-16T18:50:00
T4_METALBAR,"Fort Sterling",127,2022-10-17T09:45:00,126,2022-10-16T11:05:00
T4_METALBAR,Lymhurst,160,2022-10-17T04:50:00,156,2022-10-16T23:00:00
T4_METALBAR,Martlock,191,2022-10-17T00:35:00,145,2022-10-16T21:30:00
T4_METALBAR,Thetford,125,2022-10-17T09:20:00,124,2022-10-17T09:20:00
T4_MetalBar_level1@1,Bridgewatch,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL1@1,"Fort Sterling",300,2022-10-16T19:15:00,257,2022-10-16T19:15:00
T4_METALBAR_LEVEL1@1,Lymhurst,340,2022-10-17T04:50:00,325,2022-10-16T23:00:00
T4_METALBAR_LEVEL1@1,Martlock,339,2022-10-17T00:50:00,320,2022-10-17T00:50:00
T4_METALBAR_LEVEL1@1,Thetford,344,2022-10-17T09:20:00,283,2022-10-17T09:20:00
T4_MetalBar_level2@2,Bridgewatch,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL2@2,"Fort Sterling",1419,2022-10-16T19:15:00,950,2022-10-16T19:15:00
T4_METALBAR_LEVEL2@2,Lymhurst,1286,2022-10-17T04:50:00,1250,2022-10-16T23:00:00
T4_METALBAR_LEVEL2@2,Martlock,1192,2022-10-16T21:30:00,1012,2022-10-16T16:55:00
T4_METALBAR_LEVEL2@2,Thetford,1256,2022-10-17T09:20:00,1150,2022-10-17T09:20:00
T4_MetalBar_level3@3,Bridgewatch,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL3@3,"Fort Sterling",6850,2022-10-17T09:45:00,6244,2022-10-16T11:10:00
T4_METALBAR_LEVEL3@3,Lymhurst,7891,2022-10-17T04:50:00,6614,2022-10-16T23:00:00
T4_METALBAR_LEVEL3@3,Martlock,7700,2022-10-16T21:35:00,6205,2022-10-16T21:30:00
T4_METALBAR_LEVEL3@3,Thetford,6804,2022-10-17T09:20:00,6200,2022-10-17T09:20:00
T5_METALBAR,Bridgewatch,619,2022-10-16T11:20:00,0,0001-01-01T00:00:00
T5_METALBAR,"Fort Sterling",648,2022-10-17T02:55:00,625,2022-10-17T02:55:00
T5_METALBAR,Lymhurst,645,2022-10-17T04:50:00,589,2022-10-17T00:05:00
T5_METALBAR,Martlock,638,2022-10-16T18:05:00,595,2022-10-16T18:05:00
T5_METALBAR,Thetford,617,2022-10-17T09:20:00,594,2022-10-17T09:20:00
T5_METALBAR_LEVEL1@1,Bridgewatch,1388,2022-10-16T11:25:00,1105,2022-10-16T11:20:00
T5_METALBAR_LEVEL1@1,"Fort Sterling",1416,2022-10-16T19:10:00,1359,2022-10-16T19:10:00
T5_METALBAR_LEVEL1@1,Lymhurst,1387,2022-10-17T04:50:00,1352,2022-10-16T23:00:00
T5_METALBAR_LEVEL1@1,Martlock,1370,2022-10-16T17:50:00,1238,2022-10-16T17:50:00
T5_METALBAR_LEVEL1@1,Thetford,1344,2022-10-17T09:20:00,1305,2022-10-17T09:20:00
T5_MetalBar_level2@2,Bridgewatch,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_METALBAR_LEVEL2@2,"Fort Sterling",4626,2022-10-16T21:40:00,4334,2022-10-16T19:10:00
