itemId,city,quality,sellOrderPrice,sellOrderPriceDate,buyOrderPrice,buyOrderPriceDate,primaryResource,primaryResourceAmount,secondaryResource,secondaryResourceAmount,bonusCity
T2_HEAD_PLATE_SET1,"Black Market",2,204,2022-10-18T09:45:00,192,2022-10-18T14:55:00,metalBar,8,,,"Fort Sterling"
T3_HEAD_PLATE_SET1,"Black Market",2,2627,2022-10-17T18:40:00,141,2022-10-18T14:55:00,metalBar,8,,,"Fort Sterling"
T4_HEAD_PLATE_SET1,"Black Market",2,1217,2022-10-18T07:05:00,1128,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T4_HEAD_PLATE_SET1@1,"Black Market",2,2600,2022-10-17T20:40:00,2632,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T4_HEAD_PLATE_SET1@2,"Black Market",2,0,0001-01-01T00:00:00,7896,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T4_HEAD_PLATE_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,30120,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T5_HEAD_PLATE_SET1,"Black Market",2,4697,2022-10-18T13:50:00,4136,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T5_HEAD_PLATE_SET1@1,"Black Market",2,7942,2022-10-18T13:55:00,4512,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T5_HEAD_PLATE_SET1@2,"Black Market",2,0,0001-01-01T00:00:00,28614,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T5_HEAD_PLATE_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,111370,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T6_HEAD_PLATE_SET1,"Black Market",2,14067,2022-10-18T13:55:00,4512,2022-10-18T16:45:00,metalBar,8,,,"Fort Sterling"
T6_HEAD_PLATE_SET1@1,"Black Market",2,30499,2022-10-18T13:55:00,13554,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T6_HEAD_PLATE_SET1@2,"Black Market",2,0,0001-01-01T00:00:00,55685,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T6_HEAD_PLATE_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,162594,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T7_HEAD_PLATE_SET1,"Black Market",2,33775,2022-10-17T21:35:00,31626,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T7_HEAD_PLATE_SET1@1,"Black Market",2,96822,2022-10-17T21:35:00,91805,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T7_HEAD_PLATE_SET1@2,"Black Market",2,0,0001-01-01T00:00:00,114418,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T7_HEAD_PLATE_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,276966,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T8_HEAD_PLATE_SET1,"Black Market",2,95899,2022-10-18T16:30:00,39130,2022-10-18T16:35:00,metalBar,8,,,"Fort Sterling"
T8_HEAD_PLATE_SET1@1,"Black Market",2,204994,2022-10-17T21:40:00,27099,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T8_HEAD_PLATE_SET1@2,"Black Market",2,0,0001-01-01T00:00:00,6021,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T8_HEAD_PLATE_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,264924,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T2_HEAD_PLATE_SET2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,metalBar,8,,,"Fort Sterling"
T3_HEAD_PLATE_SET2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,metalBar,8,,,"Fort Sterling"
T4_HEAD_PLATE_SET2,"Black Market",2,1249,2022-10-18T16:30:00,1222,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T4_HEAD_PLATE_SET2@1,"Black Market",2,2600,2022-10-17T20:40:00,1128,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T4_HEAD_PLATE_SET2@2,"Black Market",2,0,0001-01-01T00:00:00,6016,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T4_HEAD_PLATE_SET2@3,"Black Market",2,0,0001-01-01T00:00:00,26355,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T5_HEAD_PLATE_SET2,"Black Market",2,4870,2022-10-18T13:55:00,4700,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T5_HEAD_PLATE_SET2@1,"Black Market",2,7453,2022-10-18T14:55:00,7144,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
T5_HEAD_PLATE_SET2@2,"Black Market",2,0,0001-01-01T00:00:00,24096,2022-10-18T14:10:00,metalBar,8,,,"Fort Sterling"
